author,interactor,topic,doc_nb,word_nb,char_nb,doc_ids
George Kerevan,NA,P6,6.312500e-02,  29.9212500,  165.640000,
George Kerevan,NA,P7,9.437500e-02,  44.7337500,  247.640000,
George Kerevan,NA,P8,6.250000e-04,   0.2962500,    1.640000,
George Kerevan,NA,P9,6.250000e-04,   0.2962500,    1.640000,
Graham Stuart,NA,P1,4.926108e-04,   0.2852217,    1.590148,
Graham Stuart,NA,P10,4.926108e-04,   0.2852217,    1.590148,
Graham Stuart,NA,P2,3.497537e-02,  20.2507389,  112.900493,
Graham Stuart,NA,P3,4.926108e-04,   0.2852217,    1.590148,
Graham Stuart,NA,P4,5.418719e-03,   3.1374384,   17.491626,
Graham Stuart,NA,P5,4.926108e-04,   0.2852217,    1.590148,
Graham Stuart,NA,P6,3.354680e-01, 194.2359606, 1082.890640,
Graham Stuart,NA,P7,6.162562e-01, 356.8123153, 1989.274877,uk.org.publicwhip/debate/2016-01-18b.1178.0
Graham Stuart,NA,P8,4.926108e-04,   0.2852217,    1.590148,
Graham Stuart,NA,P9,5.418719e-03,   3.1374384,   17.491626,
