author,topic,doc_nb,word_nb,char_nb,doc_ids
Cat Smith,P10,1.000000e-02,   0.2000000,    1.360000,
Cat Smith,P2,1.100000e-01,   2.2000000,   14.960000,
Cat Smith,P3,1.000000e-02,   0.2000000,    1.360000,
Cat Smith,P4,1.000000e-02,   0.2000000,    1.360000,
Cat Smith,P5,1.000000e-02,   0.2000000,    1.360000,
Cat Smith,P6,1.000000e-02,   0.2000000,    1.360000,
Cat Smith,P7,3.100000e-01,   6.2000000,   42.160000,uk.org.publicwhip/debate/2016-02-11c.1727.7
Cat Smith,P8,3.100000e-01,   6.2000000,   42.160000,
Cat Smith,P9,1.000000e-02,   0.2000000,    1.360000,
Cheryl Gillan,P1,2.873563e-04,   0.2428161,    1.398563,
Cheryl Gillan,P10,5.778736e-01, 488.3031609, 2812.510632,uk.org.publicwhip/debate/2017-01-31c.845.1
Cheryl Gillan,P2,2.873563e-04,   0.2428161,    1.398563,
Cheryl Gillan,P3,8.908046e-03,   7.5272989,   43.355460,
Cheryl Gillan,P4,7.212644e-02,  60.9468391,  351.039368,
Cheryl Gillan,P5,1.899425e-01, 160.5014368,  924.450287,
Cheryl Gillan,P6,2.873563e-04,   0.2428161,    1.398563,
Cheryl Gillan,P7,1.353448e-01, 114.3663793,  658.723276,
Cheryl Gillan,P8,8.908046e-03,   7.5272989,   43.355460,
Cheryl Gillan,P9,6.034483e-03,   5.0991379,   29.369828,
Chi Onwurah,P1,1.612903e-03,   0.2048387,    1.200000,
Chi Onwurah,P10,3.725806e-01,  47.3177419,  277.200000,uk.org.publicwhip/debate/2019-02-12c.721.5
Chi Onwurah,P2,2.274194e-01,  28.8822581,  169.200000,
Chi Onwurah,P3,1.145161e-01,  14.5435484,   85.200000,
Chi Onwurah,P4,2.435484e-01,  30.9306452,  181.200000,
Chi Onwurah,P5,1.612903e-03,   0.2048387,    1.200000,
Chi Onwurah,P6,1.612903e-03,   0.2048387,    1.200000,
Chi Onwurah,P7,1.612903e-03,   0.2048387,    1.200000,
Chi Onwurah,P8,3.387097e-02,   4.3016129,   25.200000,
Chi Onwurah,P9,1.612903e-03,   0.2048387,    1.200000,
Chris Matheson,P1,5.780347e-04,   0.2132948,    1.345665,
Chris Matheson,P10,2.369942e-02,   8.7450867,   55.172254,
Chris Matheson,P2,5.780347e-04,   0.2132948,    1.345665,
Chris Matheson,P3,5.780347e-04,   0.2132948,    1.345665,
Chris Matheson,P4,1.335260e-01,  49.2710983,  310.848555,
Chris Matheson,P5,1.335260e-01,  49.2710983,  310.848555,
Chris Matheson,P6,2.317919e-01,  85.5312139,  539.611561,
Chris Matheson,P7,3.300578e-01, 121.7913295,  768.374566,uk.org.publicwhip/debate/2019-05-21a.650.1
Chris Matheson,P8,5.780347e-04,   0.2132948,    1.345665,
Chris Matheson,P9,1.450867e-01,  53.5369942,  337.761850,
Claire Perry,P1,1.488242e-01,  45.4089536,  247.693484,
Claire Perry,P10,3.193096e-03,   0.5545847,    3.033290,
Claire Perry,P2,3.193096e-03,   0.5545847,    3.033290,
Claire Perry,P3,3.193096e-03,   0.5545847,    3.033290,
Claire Perry,P4,3.753614e-01,  50.8490831,  278.609342,
Claire Perry,P5,2.072923e-01,  33.3949299,  182.742244,
Claire Perry,P6,4.476375e-01,  51.6656958,  283.477735,uk.org.publicwhip/debate/2019-04-23a.614.3
Claire Perry,P7,7.604746e-01, 233.7973031, 1275.266300,uk.org.publicwhip/debate/2019-10-30a.368.2
Claire Perry,P8,3.193096e-03,   0.5545847,    3.033290,
Claire Perry,P9,4.763754e-02,   5.6656958,   31.077735,
Daniel Zeichner,P1,1.333333e-02,   0.5683333,    3.258333,
Daniel Zeichner,P10,1.333333e-02,   0.5683333,    3.258333,
Daniel Zeichner,P2,3.133333e-01,  17.6683333,  105.258333,
Daniel Zeichner,P3,1.333333e-02,   0.5683333,    3.258333,
Daniel Zeichner,P4,1.333333e-02,   0.5683333,    3.258333,
Daniel Zeichner,P5,7.633333e-01,  37.5683333,  220.008333,uk.org.publicwhip/debate/2019-05-21a.605.3
Daniel Zeichner,P6,5.966667e-01,  20.4016667,  112.341667,uk.org.publicwhip/debate/2019-07-25a.1427.7
Daniel Zeichner,P7,1.333333e-02,   0.5683333,    3.258333,
Daniel Zeichner,P8,1.633333e-01,   9.1183333,   54.258333,
Daniel Zeichner,P9,9.666667e-02,   3.4016667,   18.841667,
Darren Jones,P1,3.012048e-04,   0.2259036,    1.364759,
Darren Jones,P10,1.837349e-02,  13.7801205,   83.250301,
Darren Jones,P2,6.325301e-03,   4.7439759,   28.659940,
Darren Jones,P3,5.150602e-02,  38.6295181,  233.373795,
Darren Jones,P4,1.027108e-01,  77.0331325,  465.382831,
Darren Jones,P5,3.343373e-02,  25.0753012,  151.488253,
Darren Jones,P6,7.560241e-02,  56.7018072,  342.554518,
Darren Jones,P7,2.774096e-01, 208.0572289, 1256.943072,
Darren Jones,P8,4.009036e-01, 300.6777108, 1816.494277,uk.org.publicwhip/debate/2018-11-12d.151.1
Darren Jones,P9,3.343373e-02,  25.0753012,  151.488253,
David Drew,P1,3.846154e-03,   0.2807692,    1.565385,
David Drew,P10,4.230769e-02,   3.0884615,   17.219231,
David Drew,P2,1.961538e-01,  14.3192308,   79.834615,
David Drew,P3,3.846154e-03,   0.2807692,    1.565385,
David Drew,P4,3.846154e-03,   0.2807692,    1.565385,
David Drew,P5,3.846154e-03,   0.2807692,    1.565385,
David Drew,P6,3.846154e-03,   0.2807692,    1.565385,
David Drew,P7,4.269231e-01,  31.1653846,  173.757692,uk.org.publicwhip/debate/2019-05-09b.640.7
David Drew,P8,1.576923e-01,  11.5115385,   64.180769,
David Drew,P9,1.576923e-01,  11.5115385,   64.180769,
Derek Thomas,P1,2.217391e-02,  12.3508696,   72.109565,
Derek Thomas,P10,4.347826e-04,   0.2421739,    1.413913,
Derek Thomas,P2,4.347826e-04,   0.2421739,    1.413913,
Derek Thomas,P3,1.347826e-02,   7.5073913,   43.831304,
Derek Thomas,P4,2.308696e-01, 128.5943478,  750.787826,
Derek Thomas,P5,1.743478e-01,  97.1117391,  566.979130,
Derek Thomas,P6,3.352174e-01, 186.7160870, 1090.126957,uk.org.publicwhip/debate/2019-10-17c.552.2
Derek Thomas,P7,3.521739e-02,  19.6160870,  114.526957,
Derek Thomas,P8,1.613043e-01,  89.8465217,  524.561739,
Derek Thomas,P9,2.652174e-02,  14.7726087,   86.248696,
Douglas Chapman,P1,4.000000e-03,   0.2600000,    1.500000,
Douglas Chapman,P10,4.000000e-03,   0.2600000,    1.500000,
Douglas Chapman,P2,4.000000e-03,   0.2600000,    1.500000,
Douglas Chapman,P3,6.040000e-01,  39.2600000,  226.500000,uk.org.publicwhip/debate/2019-06-13b.822.1
Douglas Chapman,P4,4.000000e-03,   0.2600000,    1.500000,
Douglas Chapman,P5,4.000000e-03,   0.2600000,    1.500000,
Douglas Chapman,P6,4.000000e-03,   0.2600000,    1.500000,
Douglas Chapman,P7,3.640000e-01,  23.6600000,  136.500000,
Douglas Chapman,P8,4.000000e-03,   0.2600000,    1.500000,
Douglas Chapman,P9,4.000000e-03,   0.2600000,    1.500000,
Edward Davey,P1,1.723684e-01,  31.8881579,  183.400000,
Edward Davey,P10,1.065789e-01,  19.7171053,  113.400000,
Edward Davey,P2,1.592105e-01,  29.4539474,  169.400000,
Edward Davey,P3,1.315789e-03,   0.2434211,    1.400000,
Edward Davey,P4,1.315789e-03,   0.2434211,    1.400000,
Edward Davey,P5,1.315789e-03,   0.2434211,    1.400000,
Edward Davey,P6,3.960526e-01,  73.2697368,  421.400000,uk.org.publicwhip/debate/2019-04-23a.682.2
Edward Davey,P7,1.592105e-01,  29.4539474,  169.400000,
Edward Davey,P8,1.315789e-03,   0.2434211,    1.400000,
Edward Davey,P9,1.315789e-03,   0.2434211,    1.400000,
Eleanor Laing,P1,4.111842e-05,   0.1855674,    1.226398,
Eleanor Laing,P10,6.834293e-01,3084.3163240,20383.961595,uk.org.publicwhip/debate/2017-02-08b.434.1
Eleanor Laing,P2,4.111842e-05,   0.1855674,    1.226398,
Eleanor Laing,P3,4.111842e-05,   0.1855674,    1.226398,
Eleanor Laing,P4,4.111842e-05,   0.1855674,    1.226398,
Eleanor Laing,P5,4.111842e-05,   0.1855674,    1.226398,
Eleanor Laing,P6,4.111842e-05,   0.1855674,    1.226398,
Eleanor Laing,P7,4.111842e-05,   0.1855674,    1.226398,
Eleanor Laing,P8,4.523026e-04,   2.0412418,   13.490378,
Eleanor Laing,P9,3.158306e-01,1425.3434622, 9419.963240,
Emily Thornberry,P1,4.272727e-01,  41.8727273,  229.872727,uk.org.publicwhip/debate/2016-11-22b.734.5
Emily Thornberry,P10,6.363636e-02,   6.2363636,   34.236364,
Emily Thornberry,P2,6.363636e-02,   6.2363636,   34.236364,
Emily Thornberry,P3,3.030303e-03,   0.2969697,    1.630303,
Emily Thornberry,P4,3.030303e-03,   0.2969697,    1.630303,
Emily Thornberry,P5,3.333333e-02,   3.2666667,   17.933333,
Emily Thornberry,P6,3.030303e-03,   0.2969697,    1.630303,
Emily Thornberry,P7,3.969697e-01,  38.9030303,  213.569697,
Emily Thornberry,P8,3.030303e-03,   0.2969697,    1.630303,
Emily Thornberry,P9,3.030303e-03,   0.2969697,    1.630303,
George Kerevan,P1,6.250000e-04,   0.2962500,    1.640000,
George Kerevan,P10,6.250000e-04,   0.2962500,    1.640000,
George Kerevan,P2,8.256250e-01, 391.3462500, 2166.440000,uk.org.publicwhip/debate/2016-03-08a.250.2
George Kerevan,P3,6.250000e-04,   0.2962500,    1.640000,
George Kerevan,P4,1.312500e-02,   6.2212500,   34.440000,
George Kerevan,P5,6.250000e-04,   0.2962500,    1.640000,
George Kerevan,P6,6.312500e-02,  29.9212500,  165.640000,
George Kerevan,P7,9.437500e-02,  44.7337500,  247.640000,
George Kerevan,P8,6.250000e-04,   0.2962500,    1.640000,
George Kerevan,P9,6.250000e-04,   0.2962500,    1.640000,
Graham Stuart,P1,4.926108e-04,   0.2852217,    1.590148,
Graham Stuart,P10,4.926108e-04,   0.2852217,    1.590148,
Graham Stuart,P2,3.497537e-02,  20.2507389,  112.900493,
Graham Stuart,P3,4.926108e-04,   0.2852217,    1.590148,
Graham Stuart,P4,5.418719e-03,   3.1374384,   17.491626,
Graham Stuart,P5,4.926108e-04,   0.2852217,    1.590148,
Graham Stuart,P6,3.354680e-01, 194.2359606, 1082.890640,
Graham Stuart,P7,6.162562e-01, 356.8123153, 1989.274877,uk.org.publicwhip/debate/2016-01-18b.1178.0
Graham Stuart,P8,4.926108e-04,   0.2852217,    1.590148,
Graham Stuart,P9,5.418719e-03,   3.1374384,   17.491626,
Greg Clark,P1,5.519231e-01,  27.7134615,  165.776923,uk.org.publicwhip/debate/2017-12-12b.175.2
Greg Clark,P10,6.468531e-03,   0.4407343,    2.686014,
Greg Clark,P2,1.410839e-01,  15.3830420,   95.570629,
Greg Clark,P3,6.468531e-03,   0.4407343,    2.686014,
Greg Clark,P4,7.547203e-01,  61.3148601,  376.797902,
Greg Clark,P5,6.468531e-03,   0.4407343,    2.686014,
Greg Clark,P6,4.680070e-01,  51.6715035,  321.147552,uk.org.publicwhip/debate/2016-11-08c.1390.7
Greg Clark,P7,6.468531e-03,   0.4407343,    2.686014,
Greg Clark,P8,5.192308e-02,   2.7134615,   16.276923,
Greg Clark,P9,6.468531e-03,   0.4407343,    2.686014,
Greg Mulholland,P1,3.164557e-04,   0.2417722,    1.445570,
Greg Mulholland,P10,2.879747e-02,  22.0012658,  131.546835,
Greg Mulholland,P2,4.750000e-01, 362.9000000, 2169.800000,uk.org.publicwhip/debate/2016-02-02a.861.0
Greg Mulholland,P3,3.164557e-04,   0.2417722,    1.445570,
Greg Mulholland,P4,3.829114e-02,  29.2544304,  174.913924,
Greg Mulholland,P5,1.490506e-01, 113.8746835,  680.863291,
Greg Mulholland,P6,3.164557e-04,   0.2417722,    1.445570,
Greg Mulholland,P7,1.300633e-01,  99.3683544,  594.129114,
Greg Mulholland,P8,3.164557e-04,   0.2417722,    1.445570,
Greg Mulholland,P9,1.775316e-01, 135.6341772,  810.964557,
Helen Hayes,P1,2.564103e-03,   0.1692308,    1.069231,
Helen Hayes,P10,2.564103e-03,   0.1692308,    1.069231,
Helen Hayes,P2,2.564103e-03,   0.1692308,    1.069231,
Helen Hayes,P3,6.435897e-01,  42.4769231,  268.376923,uk.org.publicwhip/debate/2019-02-21a.1588.7
Helen Hayes,P4,2.564103e-03,   0.1692308,    1.069231,
Helen Hayes,P5,3.102564e-01,  20.4769231,  129.376923,
Helen Hayes,P6,2.564103e-03,   0.1692308,    1.069231,
Helen Hayes,P7,2.820513e-02,   1.8615385,   11.761538,
Helen Hayes,P8,2.564103e-03,   0.1692308,    1.069231,
Helen Hayes,P9,2.564103e-03,   0.1692308,    1.069231,
