author,date,topic,doc_nb,word_nb,char_nb,doc_ids
Andrew Murrison,2016-07-18,P9,7.575758e-04,   0.2507576,    1.459091,
Andrew Stephenson,2019-07-04,P1,2.173913e-03,   2.3782609,   14.408696,
Andrew Stephenson,2019-07-04,P10,1.976285e-04,   0.2162055,    1.309881,
Andrew Stephenson,2019-07-04,P2,1.600791e-02,  17.5126482,  106.100395,
Andrew Stephenson,2019-07-04,P3,5.041502e-01, 551.5403162, 3341.507510,uk.org.publicwhip/debate/2019-07-04b.1409.1
Andrew Stephenson,2019-07-04,P4,3.598814e-01, 393.7102767, 2385.294071,
Andrew Stephenson,2019-07-04,P5,1.976285e-04,   0.2162055,    1.309881,
Andrew Stephenson,2019-07-04,P6,1.148221e-01, 125.6154150,  761.041107,
Andrew Stephenson,2019-07-04,P7,2.173913e-03,   2.3782609,   14.408696,
Andrew Stephenson,2019-07-04,P8,1.976285e-04,   0.2162055,    1.309881,
Andrew Stephenson,2019-07-04,P9,1.976285e-04,   0.2162055,    1.309881,
Anne Main,2019-09-03,P1,1.000000e-02,   0.2600000,    1.410000,
Anne Main,2019-09-03,P10,1.000000e-02,   0.2600000,    1.410000,
Anne Main,2019-09-03,P2,1.000000e-02,   0.2600000,    1.410000,
Anne Main,2019-09-03,P3,1.000000e-02,   0.2600000,    1.410000,
Anne Main,2019-09-03,P4,4.100000e-01,  10.6600000,   57.810000,
Anne Main,2019-09-03,P5,1.000000e-02,   0.2600000,    1.410000,
Anne Main,2019-09-03,P6,1.000000e-02,   0.2600000,    1.410000,
Anne Main,2019-09-03,P7,5.100000e-01,  13.2600000,   71.910000,uk.org.publicwhip/debate/2019-09-03b.34.3
Anne Main,2019-09-03,P8,1.000000e-02,   0.2600000,    1.410000,
Anne Main,2019-09-03,P9,1.000000e-02,   0.2600000,    1.410000,
Antoinette Sandbach,2016-07-04,P1,4.566210e-04,   0.2785388,    1.615068,
Antoinette Sandbach,2016-07-04,P10,4.155251e-02,  25.3470320,  146.971233,
Antoinette Sandbach,2016-07-04,P2,3.242009e-02,  19.7762557,  114.669863,
Antoinette Sandbach,2016-07-04,P3,4.566210e-04,   0.2785388,    1.615068,
Antoinette Sandbach,2016-07-04,P4,5.981735e-02,  36.4885845,  211.573973,
Antoinette Sandbach,2016-07-04,P5,5.022831e-03,   3.0639269,   17.765753,
Antoinette Sandbach,2016-07-04,P6,5.940639e-01, 362.3789954, 2101.204110,uk.org.publicwhip/debate/2016-07-04a.690.0
Antoinette Sandbach,2016-07-04,P7,2.515982e-01, 153.4748858,  889.902740,
Antoinette Sandbach,2016-07-04,P8,1.415525e-02,   8.6347032,   50.067123,
Antoinette Sandbach,2016-07-04,P9,4.566210e-04,   0.2785388,    1.615068,
Barry Gardiner,2016-09-07,P1,4.545455e-03,   0.2409091,    1.581818,
Barry Gardiner,2016-09-07,P10,5.000000e-02,   2.6500000,   17.400000,
Barry Gardiner,2016-09-07,P2,9.545455e-02,   5.0590909,   33.218182,
